item,Nome (IES),Tipo (IES),Sigla,Pública ou privada,Mantenedor,Munícipio,SITE,nº cursos superiores
1,Centro Universitário Dinâmica das Cataratas ,Centro Universitário,UDC,Privada,Privada,Foz do Iguaçu,UDC,41
2,Centro Universitário Dinâmica das Cataratas ,Centro Universitário,UDC,Privada,Privada,Medianeira,UDC,10
3,Centro Universitário Fundação Assis Gurgacz,Centro Universitário,FAG,Privada,Privada,Cascavel,FAG,36
4,Centro Universitário Fundação Assis Gurgacz,Centro Universitário,FAG,Privada,Privada,Toledo,FAG,12
5,Centro Universitário União das Américas Descomplica ,Centro Universitário,UNIAMÉRICA,Privada,Privada,Foz do Iguaçu,UniAmérica,22
6,Faculdade BIOPARK,Faculdade,BIOPARK,Privada,Privada,Toledo,Biopark Educação,9
7,FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON ,Faculdade,ISEPE RONDON,Privada,,Marechal Cândido Rondon,Isepe Rondon,9
8,FACULDADE FOZ DO IGUAÇU ,Faculdade,FAFIG,Privada,Privada,Foz do Iguaçu,FAFIG,2
9,Faculdade Multiversa (Unidade UNIGUAÇU em foz),Faculdade,Multiversa,Privada,Privada,Foz do Iguaçu,Home | Multiversa Foz do Iguaçu,11
10,Faculdade UNICA de CAFELÂNDIA ,Faculdade,FAC,Privada,Privada,Cafelândia,Graduação – Faculdade UNICA Cafelândia,1
11,Faculdade UNIGUAÇU,Faculdade,UNIGUAÇU,Privada,Privada,Palotina,https://uniguacu.com.br/pos-graduacao/?cursos=todas,4
12,Faculdade UNIGUAÇU,Faculdade,UNIGUAÇU,Privada,Privada,São Miguel do Iguaçu,Uniguaçu,13
13,Faculdade UNIMEO/CTESOP,Faculdade,UNIMEO,Privada,Privada,Assis Chateaubriand,Unimeo,9
14,FACULDADES UNIFICADAS DE FOZ DO IGUAÇU ,Faculdade,UNIFOZ,Privada,Privada,Foz do Iguaçu,Unifoz,2
15,INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU ,Centro Universitário,CESUFOZ,Privada,Privada,Foz do Iguaçu,CESUFOZ,10
16,Instituto Federal do Paraná,Instituto ,IFPR,Pública,Gov Federal,Assis Chateaubriand,"Campus Assis Chateaubriand – IFPR – Educação Pública, Gratuita e de Qualidade",3
17,Instituto Federal do Paraná,Instituto ,IFPR,Pública,Gov Federal,Cascavel,"Campus Cascavel – IFPR – Educação Pública, Gratuita e de Qualidade",3
18,Instituto Federal do Paraná,Instituto ,IFPR,Pública,Gov Federal,Foz do Iguaçu,"Campus Foz do Iguaçu – IFPR – Educação Pública, Gratuita e de Qualidade",4
19,Instituto Federal do Paraná,Instituto ,IFPR,Pública,Gov Federal,Toledo,"Centro de Referência IFPR/Biopark – IFPR – Educação Pública, Gratuita e de Qualidade",0
20,Multiversa unidade Palotina,Faculdade,Multiversa,Privada,Privada,Palotina,Home | Multiversa Palotina,3
21,Pontíficia Universidade Católica do Paraná,Universidade,PUCPR,Privada,APC - sem fins lucrativos,Toledo,Home - Câmpus Toledo,8
22,Universidade Estadual do Oeste do Paraná,Universidade,UNIOESTE,Pública,Gov Estado PR,Cascavel,Cascavel - Página Principal - Unioeste,20
23,Universidade Estadual do Oeste do Paraná,Universidade,UNIOESTE,Pública,Gov Estado PR,Foz do Iguaçu,Foz do Iguaçu - Página Principal - Unioeste,13
24,Universidade Estadual do Oeste do Paraná,Universidade,UNIOESTE,Pública,Gov Estado PR,Marechal Cândido Rondon,Marechal Cândido Rondon - Página Principal - Unioeste,8
25,Universidade Estadual do Oeste do Paraná,Universidade,UNIOESTE,Pública,Gov Estado PR,Toledo,Toledo - Página Principal - Unioeste,10
26,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA ,Universidade,UNILA,Pública,Gov Federal,Foz do Iguaçu,Universidade Federal da Integração Latino-Americana,29
27,UNIVERSIDADE FEDERAL DO PARANÁ ,Universidade,UFPR,Pública,Gov Federal,Palotina,Setor Palotina,8
28,UNIVERSIDADE FEDERAL DO PARANÁ ,Universidade,UFPR,Pública,Gov Federal,Toledo,Campus Toledo,1
29,UNIVERSIDADE PARANAENSE ,Universidade,UNIPAR,Privada,Privada,Cascavel,UNIPAR,14
30,UNIVERSIDADE PARANAENSE ,Universidade,UNIPAR,Privada,Privada,Guaíra,UNIPAR,8
31,UNIVERSIDADE PARANAENSE ,Universidade,UNIPAR,Privada,Privada,Toledo,UNIPAR,5
32,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ ,Universidade,UFTPR,Pública,Gov Federal,Santa Helena,UTFPR,3
33,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ ,Universidade,UFTPR,Pública,Gov Federal,Toledo,UTFPR,7
34,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ ,Universidade,UFTPR,Pública,Gov Federal,Medianeira,UTFPR,9
