Nº;Ambiente;Entidade / Órgão Proponente;Município;Área Temática / Conhecimento;Ano;;;
1;ACELERADORA HABITAT SENAI;SENAI CAMPUS DA INDÚSTRIA;CURITIBA;Aceleradora;2023;;;
2;EVOA ACELERADORA;EVOA SISCOOB;MARINGÁ;Aceleradora;2023;;;
3;3C LAB;3C PLUS TI;GUARAPUAVA;Aceleradora;2024;;;
4;ACELERADORA ASSESPRO PARANÁ;ASSOCIAÇÃO DAS EMPRESAS BRASILEIRAS DE TECNOLOGIA DA INFORMAÇÃO-ASSESPRO PARANÁ;CAMPO MOURÃO;Aceleradora;2024;;;
5;ACELERADORA CTUP;ASSOCIAÇÃO CILLA TECH PARK;GUARAPUAVA;Aceleradora;2024;;;
6;ACELERADORA FUNDAÇÃO EDUCERE;FUNDAÇÃO EDUCERE DE CAMPO MOURÃO;CAMPO MOURÃO;Aceleradora;2024;;;
7;ACICLABS;ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CASCAVEL;CASCAVEL;Aceleradora;2024;;;
8;HUB BRASIL DE SOLUÇÕES PARA GOVERNO;AVALIANDO BRASIL;MARINGÁ;Aceleradora;2024;;;
9;INCUBADORA ACELERADORA INTECCID;PREFEITURA MUNICIPAL DE UMUARAMA;UMUARAMA;Aceleradora;2024;;;
10;INSTITUTO LEGADO DE EMPREENDEDORISMO SOCIAL;INSTITUTO LEGADO DE EMPREENDEDORISMO SOCIAL;CURITIBA;Aceleradora;2024;;;
11;REGINA VENTURES: ACELERADORA NO PARANÁ;REGNA VENTURES;CASCAVEL;Aceleradora;2024;;;
12;VENTIUR INVESTIMENTOS EM NOVOS NEGÓCIOS S.A.;VENTIUR INVESTIMENTOS EM NOVOS NEGÓCIOS S.A.;CURITIBA;Aceleradora;2024;;;
13;AGÊNCIA DE INOVAÇÃO DA UNIOESTE;UNIOESTE;CASCAVEL;Agência de Inovação/NIT;2023;;;
14;AGÊNCIA DE INOVAÇÃO DA UNIVERSIDADE FEDERAL DO PARANÁ;UNIVERSIDADE FEDERAL DO PARANÁ;CURITIBA;Agência de Inovação/NIT;2023;;;
15;AGÊNCIA DE INOVAÇÃO DA UTFPR;UTFPR;CURITIBA;Agência de Inovação/NIT;2023;;;
16;AGÊNCIA DE INOVAÇÃO DE MORRETES;PREFEITURA MUNICIPAL;MORRETES;Agência de Inovação/NIT;2023;;;
17;AGÊNCIA DE INOVAÇÃO E TRANSFORMAÇÃO DIGITAL DO VALE DO SOL;PRFEITURA MUNICIPAL;ASSAÍ;Agência de Inovação/NIT;2023;;;
18;AGÊNCIA DE INOVAÇÃO/ AGITEC;UNESPAR CAMPUS CAMPO MOURAO;CAMPO MOURÃO;Agência de Inovação/NIT;2023;;;
19;AGEUNI / UENP;AGÊNCIA DE DESENVOLVIMENTO REGIONAL SUSTENTÁVEL E DE INOVAÇÃO;JACAREZINHO;Agência de Inovação/NIT;2023;;;
20;AGIPI/UEPG;UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PONTA GROSSA;Agência de Inovação/NIT;2023;;;
21;AGITEC UNESPAR;UNESPAR;PARANAGUÁ;Agência de Inovação/NIT;2023;;;
22;AGITEC UNESPAR - APUCARANA;UNESPAR;APUCARANA;Agência de Inovação/NIT;2023;;;
23;AGITEC UNESPAR CURITIBA;UNESPAR;CURITIBA;Agência de Inovação/NIT;2023;;;
24;AGITEC UNESPAR PARANAVAÍ;UNESPAR;PARANAVAÍ;Agência de Inovação/NIT;2023;;;
25;AGITEC UNESPAR UNIÃO DA VITÓRIA;UNESPAR;UNIÃO DA VITÓRIA;Agência de Inovação/NIT;2023;;;
26;AGÊNCIA DE INOVAÇÃO UEL - AINTEC;UNIVERSIDADE ESTADUAL DE LONDRINA;LONDRINA;Agência de Inovação/NIT;2023;;;
27;DIRETORIA DE PESQUISA E INOVAÇÃO (DPI);IDR PARANA;CURITIBA;Agência de Inovação/NIT;2023;;;
28;NÚCLEO DE INOVAÇÃO TECNOLÓGICA DA UNIVERSIDADE ESTADUAL DE MARINGÁ NIT - UEM;UNIVERSIDADE ESTADUAL DE MARINGÁ;MARINGÁ;Agência de Inovação/NIT;2023;;;
29;INOVA MANOEL RIBAS;PREFEITURA MUNICIPAL;MANOEL RIBAS;Agência de Inovação/NIT;2023;;;
30;"INSTITUTO INTEGRADO DE CIENCIA E TECNOLOGIA -
IN2";CENTRO EDUCACIONAL INTEGRADO;CAMPO MOURÃO;Agência de Inovação/NIT;2023;;;
31;NIT - CENTRO UNIVERSITÁRIO CAMPO REAL;"COMPLEXO DE ENSINO SUPERIOR CAMPO REAL
LTDA-CAMPO REAL";GUARAPUAVA;Agência de Inovação/NIT;2023;;;
32;NIT AITEC/UENP;UENP;BANDEIRANTES;Agência de Inovação/NIT;2023;;;
33;NIT PUCPR;PONTIFÍCIA UNIVERSIDADE CATÓLICA PUC/PR;CURITIBA;Agência de Inovação/NIT;2023;;;
