Nº,AMBIENTE,ENTIDADE/ÓRGÃO PROPONENTE,MUNICÍPIO,ÁREA TEMÁTICA/CONHECIMENTO
1,ACELERADORA   HABITAT SENAI,SENAI CAMPUS DA INDÚSTRIA,CURITIBA,Aceleradora
2,EVOA ACELERADORA,EVOA SISCOOB,MARINGÁ,Aceleradora
3,3C LAB,3C PLUS TI,GUARAPUAVA,Aceleradora
4,ACELERADORA ASSESPRO PARANÁ,ASSOCIAÇÃO DAS EMPRESAS BRASILEIRAS DE TECNOLOGIA DA INFORMAÇÃO-ASSESPRO PARANÁ,CAMPO MOURÃO,Aceleradora
5,ACELERADORA CTUP,ASSOCIAÇÃO CILLA TECH PARK,GUARAPUAVA,Aceleradora
6,ACELERADORA FUNDAÇÃO EDUCERE,FUNDAÇÃO EDUCERE DE CAMPO MOURÃO,CAMPO MOURÃO,Aceleradora
7,ACICLABS,ASSOCIAÇÃO COMERCIAL E INDUSTRIAL DE CASCAVEL,CASCAVEL,Aceleradora
8,HUB BRASIL DE SOLUÇÕES PARA GOVERNO,AVALIANDO BRASIL,MARINGÁ,Aceleradora
9,INCUBADORA ACELERADORA INTECCID,PREFEITURA MUNICIPAL DE UMUARAMA,UMUARAMA,Aceleradora
10,INSTITUTO LEGADO DE EMPREENDEDORISMO SOCIAL,INSTITUTO LEGADO DE EMPREENDEDORISMO SOCIAL,CURITIBA,Aceleradora
11,REGINA VENTURES: ACELERADORA NO PARANÁ,REGNA VENTURES,CASCAVEL,Aceleradora
12,VENTIUR INVESTIMENTOS EM NOVOS NEGÓCIOS S.A.,VENTIUR INVESTIMENTOS EM NOVOS NEGÓCIOS S.A.,CURITIBA,Aceleradora
13,AGÊNCIA DE INOVAÇÃO DA UNIOESTE,UNIOESTE,CASCAVEL,Agência de Inovação/NIT
14,AGÊNCIA DE INOVAÇÃO DA UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDADE FEDERAL DO PARANÁ,CURITIBA,Agência de Inovação/NIT
15,AGÊNCIA DE INOVAÇÃO DA UTFPR,UTFPR,CURITIBA,Agência de Inovação/NIT
